ds,BTCUSDT
2024-06-05 22:00:00,71138.43000000
2024-06-05 22:01:00,71122.82000000
2024-06-05 22:02:00,71122.23000000
2024-06-05 22:03:00,71215.26000000
2024-06-05 22:04:00,71172.25000000
2024-06-05 22:05:00,71180.61000000
2024-06-05 22:06:00,71219.49000000
2024-06-05 22:07:00,71192.65000000
2024-06-05 22:08:00,71197.64000000
2024-06-05 22:09:00,71209.13000000
2024-06-05 22:10:00,71217.97000000
2024-06-05 22:11:00,71217.97000000
2024-06-05 22:12:00,71250.00000000
2024-06-05 22:13:00,71240.00000000
2024-06-05 22:14:00,71213.81000000
2024-06-05 22:15:00,71200.45000000
2024-06-05 22:16:00,71213.61000000
2024-06-05 22:17:00,71192.18000000
2024-06-05 22:18:00,71192.19000000
2024-06-05 22:19:00,71180.00000000
2024-06-05 22:20:00,71168.80000000
2024-06-05 22:21:00,71150.01000000
2024-06-05 22:22:00,71111.19000000
2024-06-05 22:23:00,71117.91000000
2024-06-05 22:24:00,71117.91000000
2024-06-05 22:25:00,71117.90000000
2024-06-05 22:26:00,71117.91000000
2024-06-05 22:27:00,71106.11000000
2024-06-05 22:28:00,71099.54000000
2024-06-05 22:29:00,71099.54000000
2024-06-05 22:30:00,71130.42000000
2024-06-05 22:31:00,71108.02000000
2024-06-05 22:32:00,71159.96000000
2024-06-05 22:33:00,71176.71000000
2024-06-05 22:34:00,71172.45000000
2024-06-05 22:35:00,71172.44000000
2024-06-05 22:36:00,71191.99000000
2024-06-05 22:37:00,71189.55000000
2024-06-05 22:38:00,71164.81000000
2024-06-05 22:39:00,71155.98000000
2024-06-05 22:40:00,71155.98000000
2024-06-05 22:41:00,71160.56000000
2024-06-05 22:42:00,71160.56000000
2024-06-05 22:43:00,71187.99000000
2024-06-05 22:44:00,71199.57000000
2024-06-05 22:45:00,71239.99000000
2024-06-05 22:46:00,71258.37000000
2024-06-05 22:47:00,71221.37000000
2024-06-05 22:48:00,71222.19000000
2024-06-05 22:49:00,71200.00000000
2024-06-05 22:50:00,71193.12000000
