ds,ETHUSDT
2024-06-05 22:00:00,3847.85000000
2024-06-05 22:01:00,3847.74000000
2024-06-05 22:02:00,3847.41000000
2024-06-05 22:03:00,3850.19000000
2024-06-05 22:04:00,3848.40000000
2024-06-05 22:05:00,3847.51000000
2024-06-05 22:06:00,3848.70000000
2024-06-05 22:07:00,3848.07000000
2024-06-05 22:08:00,3847.50000000
2024-06-05 22:09:00,3847.23000000
2024-06-05 22:10:00,3847.12000000
2024-06-05 22:11:00,3848.69000000
2024-06-05 22:12:00,3850.26000000
2024-06-05 22:13:00,3850.66000000
2024-06-05 22:14:00,3849.51000000
2024-06-05 22:15:00,3849.05000000
2024-06-05 22:16:00,3848.88000000
2024-06-05 22:17:00,3848.87000000
2024-06-05 22:18:00,3848.01000000
2024-06-05 22:19:00,3847.51000000
2024-06-05 22:20:00,3847.65000000
2024-06-05 22:21:00,3847.55000000
2024-06-05 22:22:00,3845.31000000
2024-06-05 22:23:00,3846.49000000
2024-06-05 22:24:00,3846.49000000
2024-06-05 22:25:00,3845.83000000
2024-06-05 22:26:00,3845.21000000
2024-06-05 22:27:00,3845.00000000
2024-06-05 22:28:00,3842.42000000
2024-06-05 22:29:00,3843.89000000
2024-06-05 22:30:00,3844.95000000
2024-06-05 22:31:00,3842.28000000
2024-06-05 22:32:00,3844.55000000
2024-06-05 22:33:00,3847.42000000
2024-06-05 22:34:00,3847.03000000
2024-06-05 22:35:00,3847.49000000
2024-06-05 22:36:00,3849.02000000
2024-06-05 22:37:00,3847.68000000
2024-06-05 22:38:00,3847.00000000
2024-06-05 22:39:00,3847.01000000
2024-06-05 22:40:00,3846.78000000
2024-06-05 22:41:00,3846.86000000
2024-06-05 22:42:00,3846.97000000
2024-06-05 22:43:00,3846.99000000
2024-06-05 22:44:00,3847.95000000
2024-06-05 22:45:00,3848.50000000
2024-06-05 22:46:00,3850.21000000
2024-06-05 22:47:00,3849.33000000
2024-06-05 22:48:00,3850.00000000
2024-06-05 22:49:00,3849.11000000
2024-06-05 22:50:00,3849.10000000
2024-06-05 22:51:00,3848.50000000
2024-06-05 22:52:00,3847.50000000
2024-06-05 22:53:00,3847.23000000
2024-06-05 22:54:00,3848.49000000
2024-06-05 22:55:00,3849.50000000
2024-06-05 22:56:00,3849.50000000
2024-06-05 22:57:00,3851.99000000
2024-06-05 22:58:00,3852.48000000
2024-06-05 22:59:00,3852.51000000
2024-06-05 23:00:00,3850.76000000
2024-06-05 23:01:00,3850.66000000
2024-06-05 23:02:00,3854.19000000
2024-06-05 23:03:00,3855.03000000
2024-06-05 23:04:00,3855.17000000
2024-06-05 23:05:00,3855.99000000
2024-06-05 23:06:00,3855.57000000
2024-06-05 23:07:00,3855.76000000
2024-06-05 23:08:00,3855.87000000
2024-06-05 23:09:00,3855.26000000
2024-06-05 23:10:00,3854.94000000
2024-06-05 23:11:00,3854.51000000
2024-06-05 23:12:00,3854.41000000
2024-06-05 23:13:00,3858.16000000
2024-06-05 23:14:00,3858.01000000
2024-06-05 23:15:00,3859.59000000
2024-06-05 23:16:00,3859.09000000
2024-06-05 23:17:00,3859.51000000
2024-06-05 23:18:00,3856.87000000
2024-06-05 23:19:00,3855.56000000
2024-06-05 23:20:00,3855.00000000
2024-06-05 23:21:00,3854.50000000
2024-06-05 23:22:00,3854.50000000
2024-06-05 23:23:00,3854.04000000
2024-06-05 23:24:00,3853.53000000
2024-06-05 23:25:00,3852.42000000
2024-06-05 23:26:00,3853.77000000
2024-06-05 23:27:00,3854.50000000
2024-06-05 23:28:00,3855.62000000
2024-06-05 23:29:00,3852.44000000
2024-06-05 23:30:00,3853.67000000
2024-06-05 23:31:00,3856.06000000
2024-06-05 23:32:00,3859.01000000
2024-06-05 23:33:00,3861.01000000
2024-06-05 23:34:00,3861.09000000
2024-06-05 23:35:00,3861.91000000
2024-06-05 23:36:00,3862.65000000
2024-06-05 23:37:00,3862.27000000
2024-06-05 23:38:00,3866.00000000
2024-06-05 23:39:00,3867.27000000
2024-06-05 23:40:00,3865.60000000
2024-06-05 23:41:00,3867.21000000
2024-06-05 23:42:00,3868.32000000
2024-06-05 23:43:00,3868.98000000
2024-06-05 23:44:00,3867.51000000
2024-06-05 23:45:00,3865.21000000
2024-06-05 23:46:00,3865.01000000
2024-06-05 23:47:00,3862.50000000
2024-06-05 23:48:00,3863.80000000
2024-06-05 23:49:00,3864.11000000
2024-06-05 23:50:00,3867.00000000
2024-06-05 23:51:00,3867.31000000
2024-06-05 23:52:00,3868.49000000
2024-06-05 23:53:00,3869.17000000
2024-06-05 23:54:00,3869.38000000
2024-06-05 23:55:00,3869.00000000
